Name,Name of Module,Description of Module,Description of Type,Size,Activity dates,Duration
5284STSI6Y/HerT/P5/01,5284STSI6Y,Stochastic Simulation,Hertentamen,5,03/05/16,13
5284STSI6Y/Tent/P2/01,5284STSI6Y,Stochastic Simulation,Tentamen,30,17/12/15,13
5324ITBQ3Y/H/P6/01,5324ITBQ3Y,Introduction to BV quantization,Hoorcollege,10,31/5/16,7/6/16,14/6/16,21/6/16,8
5324ITBQ3Y/H/P6/02,5324ITBQ3Y,Introduction to BV quantization,Hoorcollege,10,3/6/16,10/6/16,17/6/16,24/6/16,8
5324ITBQ3Y/WC/P6/01,5324ITBQ3Y,Introduction to BV quantization,Werkcollege,10,31/5/16,7/6/16,14/6/16,21/6/16,8
5324ITBQ3Y/WC/P6/02,5324ITBQ3Y,Introduction to BV quantization,Werkcollege,10,3/6/16,10/6/16,17/6/16,24/6/16,8
53541MMT6Y/H/P1/01,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,1/9/15,8/9/15,15/9/15,22/9/15,29/9/15,6/10/15,13/10/15,20/10/15,8
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,03/09/15,16
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,34,11/09/15,8
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,34,11/09/15,8
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,18/09/15,16
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,25/09/15,16
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,34,02/10/15,16
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,09/10/15,16
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,38,16/10/15,16
